1701138979.6422033
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,48.0238554076774,-18.11398290787003,14137.0
30,34.44652997425306,-4.468626850869991,14414.0
30,30.586279734060906,-0.5891725302288082,14660.0
30,109.24548151228059,-79.64249551185978,15537.0
30,26.369163356159916,3.6498195902408455,15749.0
30,-1927.4658966909774,1967.2727645250327,241.0
30,31.958127273223194,-1.9875121498289525,498.0
30,0.7462156408081935,29.400365400104086,504.0
30,98.1225851443861,-68.46417183380305,1293.0
30,74.58476333412762,-44.80745177258015,1893.0
1701139561.2217407
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,198.21832944248803,-169.0611132729949,2911.0
30,0.0,30.15198218329442,2911.0
30,95.48558988830658,-65.81397269364699,3679.0
30,74.36972942302918,-44.59136691153968,4279.0
30,100.45241829723123,-70.80494121560614,5084.0
30,90.82468802986276,-61.12871519270939,5814.0
30,113.13774463060808,-83.55365648432713,6726.0
30,114.50549906501145,-84.92804023788085,7644.0
30,139.34738234729272,-109.89436767786201,8765.0
30,150.53362550725737,-121.13640549722525,9977.0
30,45.919166980172584,-15.997716670488176,10346.0
30,31.71262257518182,-1.7210436226136776,10601.0
30,28.475463732677472,1.5321913202475657,10830.0
30,103.81879116258963,-74.18863855167687,11666.0
30,26.354782728282608,3.6642179981603222,11878.0
30,102.7893536121673,-73.15406472593699,12703.0
30,30.99368173643632,-0.997932188399743,12952.0
30,102.14412453577911,-72.50555666288601,13773.0
30,24.943137623864317,5.082918697885481,13974.0
30,100.22663159957017,-70.57851759250778,14779.0
30,31.7920025960829,-1.8002782627732785,15035.0
30,98.57084602848857,-68.91436804706535,15827.0
30,-1909.8445320381581,1949.5638388521297,463.0
30,123.9134527852376,-94.40335762901202,1461.0
30,23.543994097989064,6.489289626107864,1650.0
30,130.9462341935653,-101.45203938693408,2699.0
