,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
162,-127.0,0.042643070220947266,-74.4552393518881,90.0,1709853069.059556,382.5,0.0,2.8
163,-1.0,0.03545069694519043,-0.7052047534820534,90.0,1709853069.0950067,382.5,0.0,0.0
164,-118.0,0.03325653076171875,-88.70438173893095,90.0,1709853069.1282632,382.5,0.0,0.0
165,-138.0,0.03824138641357422,-90.21639442380109,89.0,1709853069.1665046,378.25,0.0,-2.8
166,-135.0,0.04120492935180664,-81.9076759283904,90.0,1709853069.2077096,382.5,0.0,2.8
167,-131.0,0.021712064743041992,-150.83779634774396,90.0,1709853069.2294216,382.5,0.0,0.0
168,-128.0,0.03530526161193848,-90.6380480952992,90.0,1709853069.2647269,382.5,0.0,0.0
169,-127.0,0.04476475715637207,-70.92633137512848,89.0,1709853069.3094916,378.25,0.0,-2.8
170,-128.0,0.023300647735595703,-137.33523790033766,97.0,1709853069.3327923,412.25,0.0,22.4
171,-129.0,0.039675235748291016,-81.28496124031008,89.0,1709853069.3724675,378.25,0.0,-22.4
172,-128.0,0.040888071060180664,-78.26243491139786,97.0,1709853069.4133556,412.25,0.0,22.4
173,-126.0,0.03359174728393555,-93.77303220861073,97.0,1709853069.4469473,412.25,0.0,0.0
174,-125.0,0.03153848648071289,-99.08528749187342,97.0,1709853069.4784858,412.25,0.0,0.0
175,-125.0,0.037132978439331055,-84.15699820863323,90.0,1709853069.5156188,382.5,0.0,-19.599999999999998
176,-126.0,0.03359627723693848,-93.76038832471099,89.0,1709853069.549215,378.25,0.0,-2.8
177,-128.0,0.03703761100769043,-86.39866106200957,89.0,1709853069.5862527,378.25,0.0,0.0
178,-131.0,0.03275585174560547,-99.98213526654439,96.0,1709853069.6190085,408.0,0.0,19.599999999999998
179,-131.0,0.0403294563293457,-81.2061529730305,89.0,1709853069.659338,378.25,0.0,-19.599999999999998
180,-129.0,0.027303218841552734,-118.11794128433958,89.0,1709853069.6866412,378.25,0.0,0.0
181,-129.0,0.04133272171020508,-78.02534811550397,89.0,1709853069.727974,378.25,0.0,0.0
182,-126.0,0.038407087326049805,-82.01611263199061,89.0,1709853069.766381,378.25,0.0,0.0
183,-126.0,0.0304257869720459,-103.53060063472162,89.0,1709853069.7968068,378.25,0.0,0.0
184,-128.0,0.0385136604309082,-83.08740234495909,88.0,1709853069.8353205,374.0,0.0,-2.8
185,-130.0,0.032761335372924805,-99.20230549228228,88.0,1709853069.8680818,374.0,0.0,0.0
186,-131.0,0.03821444511413574,-85.70057710424686,89.0,1709853069.9062963,378.25,0.0,2.8
187,-132.0,0.03006577491760254,-109.75935292018556,89.0,1709853069.936362,378.25,0.0,0.0
